name,owner_login,stargazerCount,forkCount,createdAt,updatedAt,primaryLanguage,pullRequests_totalCount,releases_totalCount,issues_closed_totalCount,issues_totalCount,diskUsage,defaultBranch_name,defaultBranch_commit_history_totalCount,license_spdxId,license_name,topics
scrcpy,Genymobile,136147,12692,2017-11-21T18:00:27Z,2026-02-26T00:16:17Z,C,123,50,3284,5949,8049,,,Apache-2.0,Apache License 2.0,
fucking-algorithm,labuladong,132802,23718,2020-02-19T09:01:23Z,2026-02-26T00:08:17Z,Markdown,243,1,960,960,125390,,,,,
go,golang,132754,18831,2014-08-19T04:33:40Z,2026-02-25T23:02:11Z,Go,1,0,60796,70261,426450,,,BSD-3-Clause,"BSD 3-Clause ""New"" or ""Revised"" License",
dify,langgenius,130344,20307,2023-04-12T07:40:24Z,2026-02-26T00:44:15Z,TypeScript,9564,158,16139,16546,301766,,,NOASSERTION,Other,
PowerToys,microsoft,130083,7727,2019-05-01T17:44:02Z,2026-02-25T22:26:01Z,C#,6303,127,30066,38144,482926,,,MIT,MIT License,
langchain,langchain-ai,127438,20942,2022-10-17T02:58:36Z,2026-02-26T00:30:51Z,Python,16004,1000,8864,9093,520333,,,MIT,MIT License,
30-seconds-of-code,Chalarangelo,126866,12443,2017-11-29T17:35:03Z,2026-02-26T00:31:45Z,JavaScript,836,12,300,300,742593,,,CC-BY-4.0,Creative Commons Attribution 4.0 International,
react-native,facebook,125474,25092,2015-01-09T18:10:16Z,2026-02-26T00:41:06Z,C++,953,441,26820,27567,956826,,,MIT,MIT License,
open-webui,open-webui,124926,17675,2023-10-06T22:08:27Z,2026-02-26T00:39:04Z,Python,3258,149,7552,7715,329202,,,NOASSERTION,Other,
system-prompts-and-models-of-ai-tools,x1xhlol,124110,31942,2025-03-05T16:38:29Z,2026-02-26T00:42:57Z,,45,0,102,187,1343,,,GPL-3.0,GNU General Public License v3.0,
hello-algo,krahets,122442,14847,2022-11-04T11:08:34Z,2026-02-26T00:42:43Z,Java,968,10,274,282,411458,,,NOASSERTION,Other,
kubernetes,kubernetes,120772,42542,2014-06-06T22:56:04Z,2026-02-26T00:34:27Z,Go,63898,779,46745,48578,1445701,,,Apache-2.0,Apache License 2.0,
electron,electron,120217,17008,2013-04-12T01:47:36Z,2026-02-25T22:14:57Z,C++,24432,1000,20719,21458,191012,,,MIT,MIT License,
free-for-dev,ripienaar,118174,12132,2015-03-18T21:06:26Z,2026-02-25T23:08:58Z,HTML,2886,0,0,0,9482,,,,,
excalidraw,excalidraw,117513,12659,2020-01-02T01:04:43Z,2026-02-26T00:33:20Z,TypeScript,3832,14,2537,4631,98230,,,MIT,MIT License,
free-programming-books-zh_CN,justjavac,116355,28336,2013-11-04T01:59:19Z,2026-02-25T20:40:42Z,,282,3,0,0,1059,,,GPL-3.0,GNU General Public License v3.0,
node,nodejs,115938,34871,2014-11-26T19:57:11Z,2026-02-26T00:37:28Z,JavaScript,11834,483,18307,20063,1422012,,,NOASSERTION,Other,
d3,d3,112420,22815,2010-09-27T17:22:42Z,2026-02-25T21:21:00Z,Shell,494,194,2229,2239,59349,,,ISC,ISC License,
iptv,iptv-org,112021,5624,2018-11-14T22:00:57Z,2026-02-26T00:24:04Z,TypeScript,6807,0,21195,21526,1175109,,,Unlicense,The Unlicense,
three.js,mrdoob,111085,36284,2010-03-23T18:58:01Z,2026-02-25T19:31:36Z,JavaScript,15194,175,13051,13495,1558833,,,MIT,MIT License,
opencode,anomalyco,110875,11057,2025-04-30T20:08:00Z,2026-02-26T00:41:49Z,TypeScript,2500,724,4835,9127,207624,,,MIT,MIT License,
rust,rust-lang,110706,14533,2010-06-16T20:39:03Z,2026-02-26T00:21:41Z,Rust,69376,146,50384,61503,854750,,,Apache-2.0,Apache License 2.0,
axios,axios,108629,11535,2014-08-18T22:30:27Z,2026-02-25T22:35:58Z,JavaScript,1130,108,4754,4952,25441,,,MIT,MIT License,
rustdesk,rustdesk,108129,16091,2020-09-28T15:36:08Z,2026-02-26T00:23:37Z,Rust,3928,35,3925,3993,69335,,,AGPL-3.0,GNU Affero General Public License v3.0,
TypeScript,microsoft,107935,13237,2014-06-17T15:28:39Z,2026-02-26T00:19:11Z,TypeScript,14850,214,37980,42950,2948048,,,Apache-2.0,Apache License 2.0,
Awesome-Hacking,Hack-with-Github,107354,10032,2016-03-30T15:47:10Z,2026-02-26T00:32:00Z,,34,0,0,0,160,,,CC0-1.0,Creative Commons Zero v1.0 Universal,
ui,shadcn-ui,107290,7960,2023-01-04T12:43:27Z,2026-02-26T00:24:56Z,TypeScript,997,75,2927,3918,46199,,,MIT,MIT License,
godot,godotengine,107086,24427,2014-01-04T16:05:36Z,2026-02-26T00:22:57Z,C++,41310,66,48190,61149,1780077,,,MIT,MIT License,
generative-ai-for-beginners,microsoft,107048,57367,2023-06-19T16:28:59Z,2026-02-26T00:27:15Z,Jupyter Notebook,521,0,201,206,6583193,,,MIT,MIT License,
GitHub-Chinese-Top-Charts,GrowingGit,106338,13499,2019-09-05T03:01:56Z,2026-02-26T00:36:49Z,Java,0,0,162,343,123199,,,NOASSERTION,Other,
deno,denoland,106300,5909,2018-05-15T01:34:26Z,2026-02-25T23:33:12Z,Rust,14186,365,11500,13931,197178,,,MIT,MIT License,
nodebestpractices,goldbergyoni,105129,10692,2017-09-15T08:33:19Z,2026-02-25T21:32:50Z,Dockerfile,766,0,287,333,69535,,,CC-BY-SA-4.0,Creative Commons Attribution Share Alike 4.0 International,
frp,fatedier,104746,14905,2015-12-21T15:24:59Z,2026-02-25T22:04:56Z,Go,727,109,4014,4053,31146,,,Apache-2.0,Apache License 2.0,
ComfyUI,Comfy-Org,104193,11910,2023-01-17T03:15:56Z,2026-02-26T00:30:02Z,Python,2145,120,4474,7907,80453,,,GPL-3.0,GNU General Public License v3.0,
create-react-app,facebook,103917,27127,2016-07-17T14:55:11Z,2026-02-25T23:24:19Z,JavaScript,1949,83,6573,8420,25186,,,MIT,MIT License,
papers-we-love,papers-we-love,103620,6281,2013-12-15T14:31:41Z,2026-02-26T00:18:57Z,Shell,439,0,245,247,230836,,,,,
tauri,tauri-apps,103276,3411,2019-07-13T09:09:37Z,2026-02-25T23:58:55Z,Rust,5387,0,4903,6156,102008,,,Apache-2.0,Apache License 2.0,
terminal,microsoft,101895,9089,2017-08-11T18:38:22Z,2026-02-26T00:36:29Z,C++,4364,146,12153,13803,161794,,,MIT,MIT License,
DeepSeek-V3,deepseek-ai,101736,16538,2024-12-26T09:52:40Z,2026-02-26T00:41:39Z,Python,25,1,670,714,1768,,,MIT,MIT License,
